,thumb1,index1,middle1,pinky1,accelX1,accelY1,accelZ1,gForceX1,gForceY1,gForceZ1,gyroX1,gyroY1,gyroZ1,gesture
283,2448,2261,2391,2497,10.19,0.26,0.27,0.27,0.26,10.19,0,-0.03,-0.05,Nice!
284,2457,2247,2416,2487,10.04,0.69,0.43,0.43,0.69,10.04,0.81,0.05,-0.12,Nice!
285,2423,2290,2404,2487,10.18,0.3,0.34,0.34,0.3,10.18,-0.19,-0.03,-0.04,Nice!
286,2466,2251,2391,2510,10.16,0.13,0.46,0.46,0.13,10.16,-0.14,-0.01,0.07,Nice!
287,2448,2244,2373,2469,10.07,0.5,0.4,0.4,0.5,10.07,-0.04,-0.05,0.04,Nice!
288,2449,2246,2389,2515,10.19,0.61,0.38,0.38,0.61,10.19,-0.08,-0.03,-0.14,Nice!
289,2434,2269,2397,2474,10.11,0.57,0.48,0.48,0.57,10.11,-0.07,0.06,-0.17,Nice!
290,2435,2256,2366,2469,10.1,0.77,0.36,0.36,0.77,10.1,0.03,0.11,0.05,Nice!
291,2398,2239,2359,2480,10.16,0.25,0.58,0.58,0.25,10.16,-0.08,0.04,0.02,Nice!
292,2459,2240,2390,2483,10.14,0.46,0.71,0.71,0.46,10.14,-0.04,-0.01,-0.01,Nice!
293,2434,2252,2419,2528,10.11,0.34,0.84,0.84,0.34,10.11,-0.02,-0.02,-0.06,Nice!
294,2421,2250,2407,2478,10.15,0.42,0.83,0.83,0.42,10.15,-0.02,-0.04,-0.03,Nice!
295,2478,2253,2359,2538,10.16,0.39,0.84,0.84,0.39,10.16,-0.03,-0.05,-0.04,Nice!
296,2423,2257,2355,2498,10.16,0.54,0.76,0.76,0.54,10.16,-0.03,-0.03,-0.05,Nice!
297,2464,2263,2371,2480,10.13,0.52,0.75,0.75,0.52,10.13,-0.04,-0.05,-0.04,Nice!
298,2463,2228,2385,2485,10.1,0.61,0.81,0.81,0.61,10.1,-0.05,-0.04,-0.03,Nice!
299,2406,2243,2385,2491,10.15,0.48,0.76,0.76,0.48,10.15,-0.02,-0.04,-0.02,Nice!
300,2452,2202,2399,2487,10.14,0.69,0.87,0.87,0.69,10.14,-0.06,-0.06,-0.2,Nice!
301,2431,2253,2393,2495,10.13,0.83,1.04,1.04,0.83,10.13,-0.08,-0.07,0.02,Nice!
302,2435,2245,2405,2497,10.1,1.24,1.04,1.04,1.24,10.1,-0.07,0.06,0.06,Nice!
303,2457,2227,2405,2517,10.08,1.02,0.97,0.97,1.02,10.08,0.01,0.03,0.03,Nice!
304,2397,2256,2384,2490,10.05,0.67,1.06,1.06,0.67,10.05,-0.06,0.02,0.11,Nice!
305,2416,2237,2416,2556,10.17,0.01,0.64,0.64,0.01,10.17,-0.04,-0.02,0.03,Nice!
306,2457,2237,2384,2506,10.08,0.39,0.74,0.74,0.39,10.08,-0.02,0,0,Nice!
307,2447,2266,2384,2466,10.15,-0.14,0.46,0.46,-0.14,10.15,-0.07,-0.03,-0.01,Nice!
308,2427,2245,2391,2471,10.16,0.06,0.54,0.54,0.06,10.16,-0.05,-0.04,-0.03,Nice!
309,2439,2224,2402,2495,10.21,0.1,0.59,0.59,0.1,10.21,-0.03,-0.03,-0.03,Nice!
310,2448,2251,2383,2502,10.23,0.09,0.38,0.38,0.09,10.23,-0.04,0.01,-0.02,Nice!
311,2461,2231,2405,2503,10.18,0.03,0.72,0.72,0.03,10.18,-0.12,0.07,0.02,Nice!
312,2465,2215,2388,2480,10.13,0.26,0.73,0.73,0.26,10.13,-0.02,-0.04,-0.02,Nice!
313,2448,2235,2389,2473,10.12,0.31,0.65,0.65,0.31,10.12,-0.07,-0.03,-0.04,Nice!
314,2439,2239,2399,2509,10.22,-0.4,0.65,0.65,-0.4,10.22,-0.55,-0.02,0,Nice!
315,2462,2251,2393,2480,10.24,0.07,0.86,0.86,0.07,10.24,-0.43,-0.04,-0.01,Nice!
316,2455,2256,2390,2490,10.18,0.01,0.72,0.72,0.01,10.18,-0.45,0.04,0.03,Nice!
317,2429,2224,2397,2486,10.11,-0.33,0.88,0.88,-0.33,10.11,-0.2,0.03,-0.06,Nice!
318,2446,2255,2381,2507,10.13,-0.21,1.08,1.08,-0.21,10.13,-0.06,0.01,0.01,Nice!
319,2470,2249,2389,2484,10.04,0.15,1.09,1.09,0.15,10.04,-0.39,0,-0.01,Nice!
320,2454,2238,2429,2541,10.09,-0.57,0.63,0.63,-0.57,10.09,-0.93,0.06,0,Nice!
321,2407,2267,2374,2539,10.07,-1.28,1.43,1.43,-1.28,10.07,-0.27,0.05,-0.02,Nice!
322,2454,2250,2403,2480,10.11,-0.68,1.6,1.6,-0.68,10.11,-0.11,-0.02,-0.11,Nice!
323,2467,2230,2385,2475,10.14,-0.69,1.63,1.63,-0.69,10.14,-0.12,-0.03,-0.03,Nice!
324,2448,2257,2397,2509,10.1,-0.55,2,2,-0.55,10.1,0.12,-0.14,-0.06,Nice!
325,2469,2237,2400,2475,10.23,-1.07,-0.19,-0.19,-1.07,10.23,0.42,-0.19,-0.03,Nice!
326,2454,2286,2407,2491,10.16,-0.57,-0.14,-0.14,-0.57,10.16,-0.1,-0.04,0.02,Nice!
327,2451,2247,2393,2502,10.18,-0.64,0.15,0.15,-0.64,10.18,0.13,-0.02,-0.03,Nice!
