,thumb1,index1,middle1,pinky1,accelX1,accelY1,accelZ1,gForceX1,gForceY1,gForceZ1,gyroX1,gyroY1,gyroZ1,gesture
395,2480,2237,2402,2454,10.16,0.56,1.12,1.12,0.56,10.16,-0.04,-0.05,-0.01,Fuck You!
396,2482,2231,2397,2443,10.11,0.55,1.16,1.16,0.55,10.11,-0.04,-0.04,-0.02,Fuck You!
397,2480,2256,2383,2480,10.14,0.51,1.07,1.07,0.51,10.14,-0.04,-0.05,-0.02,Fuck You!
398,2480,2205,2419,2484,10.1,0.52,1.12,1.12,0.52,10.1,-0.04,-0.03,-0.02,Fuck You!
399,2443,2229,2379,2368,10.13,0.45,0.99,0.99,0.45,10.13,-0.05,-0.07,-0.02,Fuck You!
400,2471,2267,2414,2476,10.18,0.59,0.83,0.83,0.59,10.18,-0.05,-0.08,0,Fuck You!
401,2467,2231,2404,2470,10.03,0.57,0.75,0.75,0.57,10.03,-0.03,0,-0.04,Fuck You!
402,2527,2274,2413,2452,10.07,0.58,0.79,0.79,0.58,10.07,-0.02,-0.03,-0.04,Fuck You!
403,2473,2256,2394,2482,10.04,0.54,0.65,0.65,0.54,10.04,-0.05,-0.06,-0.02,Fuck You!
404,2478,2218,2402,2459,10.16,0.61,0.72,0.72,0.61,10.16,-0.05,-0.04,-0.03,Fuck You!
405,2470,2249,2387,2483,10.04,0.62,0.81,0.81,0.62,10.04,-0.03,-0.06,-0.02,Fuck You!
406,2461,2260,2402,2459,10.11,0.58,0.8,0.8,0.58,10.11,-0.06,-0.01,-0.04,Fuck You!
407,2461,2256,2384,2480,10.1,0.66,0.87,0.87,0.66,10.1,-0.04,-0.03,-0.02,Fuck You!
408,2466,2253,2388,2466,10.07,0.61,0.73,0.73,0.61,10.07,-0.04,-0.04,-0.02,Fuck You!
409,2490,2256,2390,2449,10.17,0.64,0.83,0.83,0.64,10.17,-0.04,-0.04,-0.02,Fuck You!
410,2480,2231,2414,2450,10.1,0.59,0.73,0.73,0.59,10.1,-0.03,-0.04,-0.02,Fuck You!
411,2459,2261,2416,2434,10.15,0.7,0.88,0.88,0.7,10.15,-0.04,-0.05,-0.02,Fuck You!
412,2462,2253,2375,2479,10.11,0.69,0.91,0.91,0.69,10.11,-0.04,-0.04,-0.03,Fuck You!
413,2448,2261,2403,2463,10.1,0.77,0.88,0.88,0.77,10.1,-0.05,-0.06,0,Fuck You!
414,2454,2262,2399,2480,10.1,0.74,0.92,0.92,0.74,10.1,-0.03,-0.04,-0.03,Fuck You!
415,2470,2223,2393,2493,10.02,0.65,1.05,1.05,0.65,10.02,-0.06,-0.07,-0.02,Fuck You!
416,2470,2224,2416,2480,10.13,0.74,1.03,1.03,0.74,10.13,-0.02,0.02,-0.03,Fuck You!
417,2438,0,0,2481,9.79,0.56,0.88,0.88,0.56,9.79,-0.03,0,-0.03,Fuck You!
418,2485,0,0,2428,10.02,0.52,0.85,0.85,0.52,10.02,-0.03,-0.01,-0.03,Fuck You!
419,2470,0,0,2451,10.14,0.43,0.83,0.83,0.43,10.14,-0.04,-0.05,-0.01,Fuck You!
420,2480,0,2382,2493,10.19,0.46,0.68,0.68,0.46,10.19,-0.01,0,-0.05,Fuck You!
421,2511,1829,2415,2456,9.96,0.57,0.98,0.98,0.57,9.96,-0.04,-0.07,-0.02,Fuck You!
422,2478,2242,2407,2473,10.14,0.63,0.88,0.88,0.63,10.14,-0.04,-0.04,-0.02,Fuck You!
423,2467,2245,2384,2457,10.18,0.57,0.89,0.89,0.57,10.18,-0.03,-0.04,-0.02,Fuck You!
424,2512,2243,2363,2505,10.1,0.7,0.99,0.99,0.7,10.1,-0.04,-0.03,-0.02,Fuck You!
425,2542,2178,2406,2469,10.12,0.67,1.11,1.11,0.67,10.12,-0.04,-0.05,0,Fuck You!
426,2481,2233,2385,2466,10.05,0.63,1.16,1.16,0.63,10.05,-0.02,-0.03,-0.02,Fuck You!
427,2453,2243,2423,2454,10.06,0.68,1.07,1.07,0.68,10.06,-0.03,-0.03,-0.03,Fuck You!
428,2463,2235,2397,2458,10.06,0.74,1.13,1.13,0.74,10.06,-0.03,-0.04,-0.02,Fuck You!
429,2467,2238,2395,2493,10.09,0.64,1.18,1.18,0.64,10.09,-0.05,-0.04,-0.03,Fuck You!
430,2474,2231,2366,2460,10.05,0.71,1.15,1.15,0.71,10.05,-0.03,-0.05,-0.02,Fuck You!
431,2476,2253,2419,2476,10.08,0.59,1.12,1.12,0.59,10.08,-0.03,-0.04,-0.02,Fuck You!
432,2465,2253,2387,2457,10.17,0.7,1.16,1.16,0.7,10.17,-0.03,-0.06,-0.02,Fuck You!
433,2485,2278,2409,2479,10.08,0.6,0.95,0.95,0.6,10.08,-0.01,-0.03,-0.03,Fuck You!
434,2480,2247,2411,2471,10.07,0.67,1.15,1.15,0.67,10.07,-0.04,-0.03,-0.03,Fuck You!
435,2489,2250,2405,2459,10.17,0.41,1.06,1.06,0.41,10.17,-0.35,-0.02,0.07,Fuck You!
436,2480,2257,2398,2453,10.19,-0.24,0.92,0.92,-0.24,10.19,0.02,-0.09,0.03,Fuck You!
437,2467,2229,2401,2458,10.09,0.22,0.78,0.78,0.22,10.09,-0.04,-0.06,-0.04,Fuck You!
438,2466,2227,2385,2480,10.25,-0.11,0.68,0.68,-0.11,10.25,-0.02,-0.04,-0.03,Fuck You!
439,2463,2242,2401,2467,10.17,0.11,0.84,0.84,0.11,10.17,-0.02,-0.04,-0.03,Fuck You!
440,2481,2256,2384,2478,10.2,0.02,0.83,0.83,0.02,10.2,-0.04,-0.03,-0.02,Fuck You!
441,2499,2237,2387,2448,10.12,-0.25,1.44,1.44,-0.25,10.12,-0.06,0.01,0.02,Fuck You!
442,2479,2240,2381,2426,10.12,-0.04,1.08,1.08,-0.04,10.12,-0.03,-0.06,-0.01,Fuck You!
443,2483,2244,2369,2496,10.08,-0.03,1.23,1.23,-0.03,10.08,0,-0.02,-0.08,Fuck You!
444,2451,2231,2379,2469,10.2,0.26,0.69,0.69,0.26,10.2,-0.01,-0.02,-0.02,Fuck You!
445,2480,2202,2379,2475,10.11,0.22,0.71,0.71,0.22,10.11,-0.02,-0.05,-0.07,Fuck You!
446,2447,2271,2379,2432,10.16,0.5,0.89,0.89,0.5,10.16,-0.03,-0.03,-0.02,Fuck You!
447,2487,2239,2380,2457,10.34,-0.53,-0.14,-0.14,-0.53,10.34,-2.42,-0.1,0.1,Fuck You!
448,2462,0,2384,2501,10.1,-0.65,0.86,0.86,-0.65,10.1,-1.07,0.06,0.09,Fuck You!
449,2512,2155,2416,2464,10.07,-0.66,1.14,1.14,-0.66,10.07,-0.02,-0.05,-0.02,Fuck You!
450,2448,2154,2409,2479,10.06,-0.67,0.97,0.97,-0.67,10.06,0.2,-0.11,-0.07,Fuck You!
451,2487,2226,2383,2448,10.21,-0.51,0.28,0.28,-0.51,10.21,1.62,-0.11,-0.17,Fuck You!
452,2478,2199,2368,2448,10.18,-0.04,0.11,0.11,-0.04,10.18,0.57,-0.11,-0.05,Fuck You!
453,2491,1772,2384,2463,10.19,-0.28,-0.2,-0.2,-0.28,10.19,0.11,0,-0.05,Fuck You!
454,2455,2189,2398,2506,9.88,-0.48,0.26,0.26,-0.48,9.88,-0.03,-0.1,0.1,Fuck You!
455,2483,1834,0,2468,10.29,-0.68,-0.27,-0.27,-0.68,10.29,-0.01,-0.05,-0.05,Fuck You!
456,2468,1443,0,2470,10.18,-0.49,-0.26,-0.26,-0.49,10.18,-0.03,-0.02,-0.04,Fuck You!
457,2455,1796,0,2462,10.07,-0.49,-0.12,-0.12,-0.49,10.07,-0.02,-0.03,-0.03,Fuck You!
